country,Location_Coordinates,year,sex,age,suicides_no,population,suicides_pop,gdp_for_year,gdp_per_capita
Japan,"35.685, 139.7514",1985,male,75,1340,1791000,74.82,1400000000000,12401
Japan,"35.685, 139.7514",1985,female,75,1553,2862400,54.26,1400000000000,12401
Japan,"35.685, 139.7514",1985,male,55-74,3763,8996900,41.83,1400000000000,12401
Japan,"35.685, 139.7514",1985,male,35-54,6962,17833300,39.04,1400000000000,12401
Japan,"35.685, 139.7514",1985,male,25-34,1982,8465800,23.41,1400000000000,12401
Japan,"35.685, 139.7514",1985,female,55-74,2543,11024900,23.07,1400000000000,12401
Japan,"35.685, 139.7514",1985,female,35-54,2582,17953700,14.38,1400000000000,12401
Japan,"35.685, 139.7514",1985,male,15-24,1139,8728500,13.05,1400000000000,12401
Japan,"35.685, 139.7514",1985,female,25-34,817,8321600,9.82,1400000000000,12401
Japan,"35.685, 139.7514",1985,female,15-24,491,8366600,5.87,1400000000000,12401
Japan,"35.685, 139.7514",1985,male,15-24,59,9423300,0.63,1400000000000,12401
Japan,"35.685, 139.7514",1985,female,15-24,26,9041200,0.29,1400000000000,12401
Japan,"35.685, 139.7514",1986,male,75,1488,1889000,78.77,2080000000000,18288
Japan,"35.685, 139.7514",1986,female,75,1801,3049000,59.07,2080000000000,18288
Japan,"35.685, 139.7514",1986,male,55-74,4171,9374000,44.5,2080000000000,18288
Japan,"35.685, 139.7514",1986,male,35-54,7298,18094000,40.33,2080000000000,18288
Japan,"35.685, 139.7514",1986,female,55-74,2877,11355000,25.34,2080000000000,18288
Japan,"35.685, 139.7514",1986,male,25-34,2057,8197000,25.09,2080000000000,18288
Japan,"35.685, 139.7514",1986,female,35-54,2787,18183000,15.33,2080000000000,18288
Japan,"35.685, 139.7514",1986,male,15-24,1263,8931000,14.14,2080000000000,18288
Japan,"35.685, 139.7514",1986,female,25-34,936,8051000,11.63,2080000000000,18288
Japan,"35.685, 139.7514",1986,female,15-24,680,8548000,7.96,2080000000000,18288
Japan,"35.685, 139.7514",1986,male,15-24,73,9231000,0.79,2080000000000,18288
Japan,"35.685, 139.7514",1986,female,15-24,53,8777000,0.6,2080000000000,18288
Japan,"35.685, 139.7514",1987,male,75,1446,1982000,72.96,2530000000000,22137
Japan,"35.685, 139.7514",1987,female,75,1718,3230000,53.19,2530000000000,22137
Japan,"35.685, 139.7514",1987,male,55-74,3988,9718000,41.04,2530000000000,22137
Japan,"35.685, 139.7514",1987,male,35-54,6688,18218000,36.71,2530000000000,22137
Japan,"35.685, 139.7514",1987,female,55-74,2938,11656000,25.21,2530000000000,22137
Japan,"35.685, 139.7514",1987,male,25-34,1904,8031000,23.71,2530000000000,22137
Japan,"35.685, 139.7514",1987,female,35-54,2496,18301000,13.64,2530000000000,22137
Japan,"35.685, 139.7514",1987,male,15-24,1065,9167000,11.62,2530000000000,22137
Japan,"35.685, 139.7514",1987,female,25-34,782,7874000,9.93,2530000000000,22137
Japan,"35.685, 139.7514",1987,female,15-24,569,8757000,6.5,2530000000000,22137
Japan,"35.685, 139.7514",1987,male,15-24,52,8959000,0.58,2530000000000,22137
Japan,"35.685, 139.7514",1987,female,15-24,17,8523000,0.2,2530000000000,22137
Japan,"35.685, 139.7514",1988,male,75,1490,2064000,72.19,3070000000000,26687
Japan,"35.685, 139.7514",1988,female,75,1865,3398000,54.89,3070000000000,26687
Japan,"35.685, 139.7514",1988,male,55-74,3851,10062000,38.27,3070000000000,26687
Japan,"35.685, 139.7514",1988,male,35-54,6087,18287000,33.29,3070000000000,26687
Japan,"35.685, 139.7514",1988,female,55-74,2853,11962000,23.85,3070000000000,26687
Japan,"35.685, 139.7514",1988,male,25-34,1736,7938000,21.87,3070000000000,26687
Japan,"35.685, 139.7514",1988,female,35-54,2438,18354000,13.28,3070000000000,26687
Japan,"35.685, 139.7514",1988,male,15-24,973,9391000,10.36,3070000000000,26687
Japan,"35.685, 139.7514",1988,female,25-34,721,7769000,9.28,3070000000000,26687
Japan,"35.685, 139.7514",1988,female,15-24,583,8959000,6.51,3070000000000,26687
Japan,"35.685, 139.7514",1988,male,15-24,49,8669000,0.57,3070000000000,26687
Japan,"35.685, 139.7514",1988,female,15-24,30,8248000,0.36,3070000000000,26687
Japan,"35.685, 139.7514",1989,male,75,1463,2153000,67.95,3050000000000,26389
Japan,"35.685, 139.7514",1989,female,75,1844,3577000,51.55,3050000000000,26389
