lat,lng,country
35.685,139.7514,Japan
40.6943,-73.9249,United States
19.4424,-99.131,Mexico
19.017,72.857,India
-23.5587,-46.625,Brazil
28.67,77.23,India
31.2165,121.4365,China
22.495,88.3247,India
34.1139,-118.4068,United States
23.7231,90.4086,Bangladesh
-34.6025,-58.3975,Argentina
24.87,66.99,Pakistan
30.05,31.25,Egypt
-22.925,-43.225,Brazil
34.75,135.4601,Japan
39.9289,116.3883,China
14.6042,120.9822,Philippines
55.7522,37.6155,Russia
41.105,29.01,Turkey
48.8667,2.3333,France
37.5663,126.9997,"Korea, South"
6.4433,3.3915,Nigeria
-6.1744,106.8294,Indonesia
23.145,113.325,China
41.8373,-87.6861,United States
51.5,-0.1167,United Kingdom
-12.048,-77.0501,Peru
35.6719,51.4243,Iran
-4.3297,15.315,Congo (Kinshasa)
4.5964,-74.0833,Colombia
22.5524,114.1221,China
30.58,114.27,China
22.305,114.185,Hong Kong
39.13,117.2,China
13.09,80.28,India
25.0358,121.5683,Taiwan
12.97,77.56,India
13.75,100.5166,Thailand
31.56,74.35,Pakistan
29.565,106.595,China
25.784,-80.2102,United States
17.4,78.48,India
32.7937,-96.7662,United States
-33.45,-70.667,Chile
40.0076,-75.134,United States
-19.915,-43.915,Brazil
40.4,-3.6834,Spain
29.7868,-95.3905,United States
23.0301,72.58,India
10.78,106.695,Vietnam
38.9047,-77.0163,United States
33.7626,-84.4228,United States
43.7,-79.42,Canada
1.293,103.8558,Singapore
-8.8383,13.2344,Angola
33.3386,44.3939,Iraq
41.3833,2.1834,Spain
22.5804,88.3299,India
41.805,123.45,China
15.5881,32.5342,Sudan
18.53,73.85,India
42.3188,-71.0846,United States
-33.92,151.1852,Australia
59.939,30.316,Russia
22.33,91.8,Bangladesh
23.0489,113.7447,China
24.6408,46.7727,Saudi Arabia
21.0333,105.85,Vietnam
20.67,-103.33,Mexico
-37.82,144.975,Australia
31.2,29.95,Egypt
30.67,104.07,China
16.7834,96.1667,Burma
33.5722,-112.0891,United States
34.275,108.895,China
-30.05,-51.2,Brazil
21.2,72.84,India
23.0965,109.6091,China
5.32,-4.04,Côte D’Ivoire
-15.7833,-47.9161,Brazil
39.9272,32.8644,Turkey
25.67,-100.33,Mexico
35.32,139.58,Japan
32.05,118.78,China
45.5,-73.5833,Canada
26.58,106.72,China
-8.0756,-34.9156,Brazil
47.6211,-122.3244,United States
45.75,126.65,China
37.7562,-122.443,United States
-3.75,-38.58,Brazil
24.5204,117.67,China
42.3834,-83.1024,United States
-12.97,-38.48,Brazil
35.0951,129.01,"Korea, South"
-26.17,28.03,South Africa
52.5218,13.4015,Germany
36.7631,3.0506,Algeria
41.896,12.4833,Italy
39.0194,125.7547,"Korea, North"
6.275,-75.575,Colombia
34.5167,69.1833,Afghanistan
37.9833,23.7333,Greece
35.155,136.915,Japan
-33.92,18.435,South Africa
32.8312,-117.1226,United States
43.865,125.34,China
33.6,-7.6164,Morocco
38.9228,121.6298,China
26.46,80.32,India
12,8.52,Nigeria
32.08,34.77,Israel
9.0333,38.7,Ethiopia
-25.42,-49.32,Brazil
36.8,118.05,China
21.5169,39.2192,Saudi Arabia
-1.2833,36.8167,Kenya
30.25,120.17,China
-26.1496,28.3299,South Africa
10.501,-66.917,Venezuela
45.47,9.205,Italy
48.78,9.2,Germany
25.07,102.68,China
-6.8,39.2683,Tanzania
44.9635,-93.2678,United States
26.9211,75.81,India
37.875,112.5451,China
50.1,8.675,Germany
36.09,120.33,China
-7.2492,112.7508,Indonesia
38.7227,-9.1449,Portugal
27.9937,-82.4454,United States
36.675,116.995,China
33.595,130.41,Japan
-22.9,-47.1,Brazil
39.7621,-104.8759,United States
22.6333,120.2666,Taiwan
14.6504,121.03,Philippines
50.2604,19.02,Poland
36.23,37.17,Syria
-29.865,30.98,South Africa
50.4334,30.5166,Ukraine
26.855,80.915,India
30.01,31.19,Egypt
34.755,113.6651,China
24.1521,120.6817,Taiwan
40.6501,-73.9496,United States
7.38,3.93,Nigeria
31.41,73.11,Pakistan
26.08,119.3,China
14.7158,-17.4731,Senegal
28.2,112.97,China
38.4361,27.1518,Turkey
27.8504,112.9,China
36.056,103.792,China
37.4761,126.6422,"Korea, South"
43.075,141.34,Japan
24.45,118.08,China
-2.22,-79.92,Ecuador
5.4136,100.3294,Malaysia
36.27,59.57,Iran
33.5,36.3,Syria
35.8668,128.607,"Korea, South"
21.17,79.09,India
40.7503,120.83,China
38.05,114.48,China
36.8028,10.1797,Tunisia
48.2,16.3666,Austria
43.85,126.55,China
15.6167,32.48,Sudan
-6.95,107.57,Indonesia
-6.2173,106.9723,Indonesia
49.5004,8.47,Germany
28.68,115.88,China
28.02,120.6501,China
40.7498,-73.7976,United States
49.2734,-123.1216,Canada
52.475,-1.92,United Kingdom
3.4,-76.5,Colombia
40.84,14.245,Italy
38.2871,141.0217,Japan
53.5004,-2.248,United Kingdom
19.05,-98.2,Mexico
32.8925,13.18,Libya
41.3117,69.2949,Uzbekistan
30.7804,106.13,China
23.132,-82.3642,Cuba
39.3051,-76.6144,United States
-1.45,-48.48,Brazil
22.82,108.32,China
25.625,85.13,India
18.4701,-69.9001,Dominican Republic
43.805,87.575,China
34.88,117.57,China
40.3953,49.8622,Azerbaijan
5.55,-0.2167,Ghana
37.5304,121.4,China
3.58,98.65,Indonesia
-17.7539,-63.226,Bolivia
34.28,117.18,China
33.9381,-117.3948,United States
35.08,118.33,China
38.6358,-90.2451,United States
36.2291,-115.2607,United States
10.73,-71.66,Venezuela
29.3697,47.9783,Kuwait
26.4282,50.0997,Saudi Arabia
45.5372,-122.65,United States
20.05,110.32,China
34.3878,132.4429,Japan
40.6522,109.822,China
31.85,117.28,China
22.7151,75.865,India
-16.72,-49.3,Brazil
15.3547,44.2066,Yemen
29.4722,-98.5247,United States
18.541,-72.336,Haiti
20.83,106.6801,Vietnam
33.6361,116.9789,China
33.0004,112.53,China
44.4334,26.0999,Romania
29.88,121.55,China
4.0604,9.71,Cameroon
39.6243,118.1944,China
23,120.2,Taiwan
40.08,113.3,China
-25.2964,-57.6415,Paraguay
34.75,72.35,Pakistan
-27.455,153.0351,Australia
33.6,73.04,Pakistan
38.5667,-121.4683,United States
33.872,35.5097,Lebanon
37.3018,-121.8485,United States
53.9,27.5666,Belarus
35.03,135.75,Japan
10.96,-74.8,Colombia
28.4788,-81.342,United States
10.23,-67.98,Venezuela
34.1299,118.7734,China
53.55,10,Germany
22.31,73.18,India
-3.1,-60,Brazil
34.4504,115.65,China
31.58,120.3,China
-2.98,104.75,Indonesia
50.8333,4.3333,Belgium
51.45,7.0166,Germany
41.4767,-81.6805,United States
23.25,77.41,India
40.82,111.66,China
40.4396,-79.9763,United States
34.68,112.4701,China
-23.9537,-46.3329,Brazil
30.6501,113.16,China
52.25,21,Poland
34.0253,-6.8361,Morocco
-20.324,-40.366,Brazil
-0.215,-78.5001,Ecuador
-18.9166,47.5166,Madagascar
11,76.95,India
46.58,125,China
31.7503,116.48,China
30.82,108.4,China
47.5,19.0833,Hungary
45.0704,7.67,Italy
31.3005,120.62,China
30.9278,75.8723,India
39.1412,-84.5059,United States
6.69,-1.63,Ghana
40.7834,-73.9662,United States
47.345,123.99,China
41.115,122.94,China
30.3006,-97.7517,United States
24.965,121.2168,Taiwan
36.58,114.48,China
36.2,117.1201,China
32.7,51.7,Iran
39.1239,-94.5541,United States
3.8667,11.5167,Cameroon
23.37,116.67,China
27.1704,78.015,India
-16.498,-68.15,Bolivia
21.2,110.38,China
19.2502,73.1602,India
9.0833,7.5333,Nigeria
-17.8178,31.0447,Zimbabwe
39.7771,-86.1458,United States
30.3704,113.44,China
32.5,-117.08,Mexico
22.84,89.56,Bangladesh
36.7204,119.1001,China
19.5,-70.67,Dominican Republic
32.1304,114.07,China
28.88,105.38,China
-31.955,115.84,Australia
19.3304,-99.67,Mexico
53.83,-1.58,United Kingdom
17.73,83.305,India
34.68,135.17,Japan
39.986,-82.9852,United States
30.2,71.455,Pakistan
10.015,76.2239,India
32.1604,74.185,Pakistan
-34.858,-56.1711,Uruguay
-22.9,-43.1,Brazil
25.92,114.95,China
43.78,11.25,Italy
24.28,109.25,China
12.65,-8,Mali
9.5315,-13.6802,Guinea
40.2,29.07,Turkey
21.15,-101.7,Mexico
36.7335,-76.0435,United States
20.0004,73.78,India
41.8654,123.87,China
29.03,111.68,China
36.3355,127.425,"Korea, South"
35.2079,-80.8303,United States
29.5804,105.05,China
11.55,104.9166,Cambodia
24.9,118.58,China
50,36.25,Ukraine
25.38,68.375,Pakistan
40.8501,-73.8662,United States
6.1319,1.2228,Togo
-31.4,-64.1823,Argentina
32.63,116.98,China
25.2866,51.533,Qatar
3.1667,101.7,Malaysia
-25.9553,32.5892,Mozambique
10.52,7.44,Nigeria
35.171,126.9104,"Korea, South"
35.53,139.705,Japan
13.71,-89.203,El Salvador
30.5333,105.5333,China
45.77,4.83,France
35.8004,50.97,Iran
0.3167,32.5833,Uganda
38.0863,46.3012,Iran
52.08,4.27,Netherlands
7.11,125.63,Philippines
43.29,5.375,France
29.0004,77.7,India
31.47,104.77,China
-6.9666,110.42,Indonesia
28.4333,77.3167,India
55.03,82.96,Russia
21.43,39.82,Saudi Arabia
25.23,55.28,United Arab Emirates
43.064,-87.9669,United States
-36.8481,174.763,New Zealand
